# Percussion experiment track

P	0	0	3	67
P	0	3	1	64
P	0	4	1	64
P	0	5	2	62
P	0	7	3	67
P	1	2	1	64
P	1	3	2	64
P	1	5	1	64
P	1	6	1	62
P	1	7	3	67
P	2	2	2	64
P	2	4	2	64
P	2	6	1	62
P	2	7	2	67
P	3	1	1	67
P	3	2	1	64
P	3	3	2	64
P	3	5	1	64
P	3	6	1	62
P	3	7	2	65
P	4	1	2	62
P	4	3	2	62
P	4	5	1	62
P	4	6	1	60
P	4	7	2	64
P	5	1	2	60
P	5	3	2	60
P	5	5	1	60
P	5	6	2	70
P	6	2	10	60
P	8	0	3	67
P	8	3	1	64
P	8	4	1	64
P	8	5	2	62
P	8	7	3	67
P	9	2	1	64
P	9	3	2	64
P	9	5	1	64
P	9	6	1	62
P	9	7	3	67
P	10	2	2	64
P	10	4	2	64
P	10	6	1	62
P	10	7	2	67
P	11	1	1	67
P	11	2	1	64
P	11	3	2	64
P	11	5	1	64
P	11	6	1	62
P	11	7	2	65
P	12	1	2	62
P	12	3	2	62
P	12	5	1	62
P	12	6	1	60
P	12	7	2	64
P	13	1	2	60
P	13	3	2	60
P	13	5	1	60
P	13	6	2	70
P	14	2	14	60

P	16	0	1	27
P	16	1	1	28
P	16	2	1	29
P	16	3	1	30
P	16	4	1	31
P	16	5	1	32
P	16	6	1	33
P	16	7	1	34
P	16	8	1	35
P	16	9	1	36
P	16	10	1	37
P	16	11	1	38
P	16	12	1	39
P	16	13	1	40
P	16	14	1	41
P	16	15	1	42
P	16	16	1	43
P	16	17	1	44
P	16	18	1	45
P	16	19	1	46
P	16	20	1	47
P	16	21	1	48
P	16	22	1	49
P	16	23	1	50
P	16	24	1	51
P	16	25	1	52
P	16	26	1	53
P	16	27	1	54
P	16	28	1	55
P	16	29	1	56
P	16	30	1	57
P	16	31	1	58
P	16	32	1	59
P	16	33	1	60
P	16	34	1	61
P	16	35	1	62
P	16	36	1	63
P	16	37	1	64
P	16	38	1	65
P	16	39	1	66
P	16	40	1	67
P	16	41	1	68
P	16	42	1	69
P	16	43	1	70
P	16	44	1	71
P	16	45	1	72
P	16	46	1	73
P	16	47	1	74
P	16	48	1	75
P	16	49	1	76
P	16	50	1	77
P	16	51	1	78
P	16	52	1	79
P	16	53	1	80
P	16	54	1	81
P	16	55	1	82
P	16	56	1	83
P	16	57	1	84
P	16	58	1	85
P	16	59	1	86
P	16	60	1	87


